model,log,alg,time

g-45-20-20-10-5--20-20-20--10--50--5--all-50,log,A*-sync,29415
g-45-20-20-10-5--20-20-20--10--25--5--all-70,log,A*-sync,4997
g-45-20-20-10-5--20-20-20--10--25--23--add-10,log,A*-sync,22
g-45-20-20-10-5--20-20-20--10--25--29--rem-70,log,A*-sync,58
g-45-20-20-10-5--20-20-20--10--50--28--all-10,log,A*-sync,26
g-45-20-20-10-5--20-20-20--10--50--27--all-70,log,A*-sync,2979
g-45-20-20-10-5--20-20-20--10--25--27--add-30,log,A*-sync,298
g-45-20-20-10-5--20-20-20--10--75--23--add-30,log,A*-sync,6755
g-45-20-20-10-5--20-20-20--10--75--20--rem-50,log,A*-sync,188
g-45-20-20-10-5--20-20-20--10--50--5--all-10,log,A*-sync,42714
g-45-20-20-10-5--20-20-20--10--25--10--add-50,log,A*-sync,170
g-45-20-20-10-5--20-20-20--10--75--15--rem-50,log,A*-sync,1054
g-45-20-20-10-5--20-20-20--10--50--24--add-50,log,A*-sync,16
g-45-20-20-10-5--20-20-20--10--75--20--add-30,log,A*-sync,190
g-45-20-20-10-5--20-20-20--10--25--10--rem-10,log,A*-sync,27
g-45-20-20-10-5--20-20-20--10--75--26--all-50,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--4--all-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--9--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--16--rem-50,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--28--all-10,log,A*-sync,11
g-45-20-20-10-5--20-20-20--10--50--21--rem-30,log,A*-sync,48
g-45-20-20-10-5--20-20-20--10--25--25--add-50,log,A*-sync,43
g-45-20-20-10-5--20-20-20--10--75--6--add-70,log,A*-sync,2124
g-45-20-20-10-5--20-20-20--10--75--10--add-50,log,A*-sync,23
g-45-20-20-10-5--20-20-20--10--50--13--add-70,log,A*-sync,936
g-45-20-20-10-5--20-20-20--10--50--21--add-30,log,A*-sync,900
g-45-20-20-10-5--20-20-20--10--25--12--all-30,log,A*-sync,29
g-45-20-20-10-5--20-20-20--10--50--3--all-10,log,A*-sync,653
g-45-20-20-10-5--20-20-20--10--25--19--all-30,log,A*-sync,39
g-45-20-20-10-5--20-20-20--10--75--18--all-10,log,A*-sync,114
g-45-20-20-10-5--20-20-20--10--50--3--rem-10,log,A*-sync,175
g-45-20-20-10-5--20-20-20--10--75--29--all-50,log,A*-sync,9064
g-45-20-20-10-5--20-20-20--10--25--21--all-70,log,A*-sync,278
g-45-20-20-10-5--20-20-20--10--75--15--all-10,log,A*-sync,693
g-45-20-20-10-5--20-20-20--10--75--16--add-50,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--22--rem-70,log,A*-sync,106
g-45-20-20-10-5--20-20-20--10--75--2--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--25--rem-10,log,A*-sync,46
g-45-20-20-10-5--20-20-20--10--25--13--add-30,log,A*-sync,24
g-45-20-20-10-5--20-20-20--10--75--10--all-30,log,A*-sync,67
g-45-20-20-10-5--20-20-20--10--50--20--all-70,log,A*-sync,34920
g-45-20-20-10-5--20-20-20--10--50--16--all-10,log,A*-sync,27
g-45-20-20-10-5--20-20-20--10--50--23--add-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--6--add-50,log,A*-sync,1556
g-45-20-20-10-5--20-20-20--10--25--24--add-30,log,A*-sync,23
g-45-20-20-10-5--20-20-20--10--75--1--add-10,log,A*-sync,49
g-45-20-20-10-5--20-20-20--10--25--15--add-50,log,A*-sync,34880
g-45-20-20-10-5--20-20-20--10--50--1--add-30,log,A*-sync,50
g-45-20-20-10-5--20-20-20--10--25--20--all-50,log,A*-sync,32
g-45-20-20-10-5--20-20-20--10--50--28--add-10,log,A*-sync,13
g-45-20-20-10-5--20-20-20--10--75--9--add-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--9--rem-30,log,A*-sync,77
g-45-20-20-10-5--20-20-20--10--50--3--add-70,log,A*-sync,8680
g-45-20-20-10-5--20-20-20--10--50--7--add-50,log,A*-sync,179
g-45-20-20-10-5--20-20-20--10--25--7--rem-50,log,A*-sync,11
g-45-20-20-10-5--20-20-20--10--50--8--add-70,log,A*-sync,2303
g-45-20-20-10-5--20-20-20--10--50--9--add-50,log,A*-sync,79
