model,log,alg,time,mgtime,tcgtime,subtime,altime,aligntime,precomptime

a--10000--all-10,log,astar-sync,36149,0,0,0,0,0,0
d--100--all-50,log,astar-sync,1034,0,0,0,0,0,0
f--10--all-10,log,astar-sync,186,0,0,0,0,0,0
i--100--all-10,log,astar-sync,112,0,0,0,0,0,0
g--100--all-50,log,astar-sync,30520,0,0,0,0,0,0
b--1000--all-70,log,astar-sync,549,0,0,0,0,0,0
f--100--all-70,log,astar-sync,4186,0,0,0,0,0,0
d--100--all-70,log,astar-sync,1188,0,0,0,0,0,0
e--100--all-10,log,astar-sync,116,0,0,0,0,0,0
i--1000--all-70,log,astar-sync,1097,0,0,0,0,0,0
f--10--all-50,log,astar-sync,537,0,0,0,0,0,0
a--100--all-50,log,astar-sync,368,0,0,0,0,0,0
b--10000--all-30,log,astar-sync,5988,0,0,0,0,0,0
i--10--all-30,log,astar-sync,38,0,0,0,0,0,0
e--10--all-30,log,astar-sync,38,0,0,0,0,0,0
c--10--all-70,log,astar-sync,39,0,0,0,0,0,0
h--10--all-50,log,astar-sync,254,0,0,0,0,0,0
e--10000--all-10,log,astar-sync,11566,0,0,0,0,0,0
a--10--all-50,log,astar-sync,47,0,0,0,0,0,0
g--100--all-10,log,astar-sync,10785,0,0,0,0,0,0
c--10000--all-10,log,astar-sync,13706,0,0,0,0,0,0
b--1000--all-30,log,astar-sync,508,0,0,0,0,0,0
e--100--all-70,log,astar-sync,130,0,0,0,0,0,0
e--10--all-70,log,astar-sync,41,0,0,0,0,0,0
b--10--all-10,log,astar-sync,34,0,0,0,0,0,0
e--100--all-30,log,astar-sync,140,0,0,0,0,0,0
b--100--all-50,log,astar-sync,73,0,0,0,0,0,0
a--1000--all-50,log,astar-sync,2286,0,0,0,0,0,0
h--1000--all-30,log,astar-sync,8648,0,0,0,0,0,0
h--10000--all-70,log,astar-sync,60000,0,0,0,0,0,0
f--10000--all-70,log,astar-sync,60000,0,0,0,0,0,0
d--100--all-30,log,astar-sync,754,0,0,0,0,0,0
d--10--all-50,log,astar-sync,142,0,0,0,0,0,0
e--10--all-10,log,astar-sync,40,0,0,0,0,0,0
f--1000--all-70,log,astar-sync,41097,0,0,0,0,0,0
a--100--all-70,log,astar-sync,215,0,0,0,0,0,0
g--10--all-70,log,astar-sync,4635,0,0,0,0,0,0
d--1000--all-50,log,astar-sync,9463,0,0,0,0,0,0
f--10--all-30,log,astar-sync,414,0,0,0,0,0,0
d--1000--all-70,log,astar-sync,11513,0,0,0,0,0,0
c--10--all-30,log,astar-sync,39,0,0,0,0,0,0
f--10--all-70,log,astar-sync,584,0,0,0,0,0,0
b--100--all-30,log,astar-sync,66,0,0,0,0,0,0
a--1000--all-70,log,astar-sync,2087,0,0,0,0,0,0
c--1000--all-50,log,astar-sync,1147,0,0,0,0,0,0
h--1000--all-70,log,astar-sync,18157,0,0,0,0,0,0
g--1000--all-70,log,astar-sync,60000,0,0,0,0,0,0
h--100--all-30,log,astar-sync,1257,0,0,0,0,0,0
i--1000--all-10,log,astar-sync,1276,0,0,0,0,0,0
h--10--all-70,log,astar-sync,306,0,0,0,0,0,0
i--10000--all-70,log,astar-sync,12662,0,0,0,0,0,0
b--10--all-70,log,astar-sync,33,0,0,0,0,0,0
f--100--all-30,log,astar-sync,2494,0,0,0,0,0,0
c--10--all-10,log,astar-sync,38,0,0,0,0,0,0
d--10000--all-70,log,astar-sync,60000,0,0,0,0,0,0
e--1000--all-50,log,astar-sync,7048,0,0,0,0,0,0
b--1000--all-50,log,astar-sync,510,0,0,0,0,0,0
